entity,n_gt,oracle_f1,oracle_n,loose_f1,loose_p,loose_r,loose_n,stage2_f1,stage2_p,stage2_r,stage2_n,n_removed,n_added,d_oracle,d_loose,api_calls
machine-1-1,8,0.6153846153846154,5,0.5185185185185185,0.4117647058823529,0.7,17,0.5,0.4,0.6666666666666666,15,2,0,-0.11538461538461542,-0.01851851851851849,17
machine-1-2,10,0.7368421052631577,9,0.5333333333333333,0.4,0.8,20,0.5714285714285713,0.5454545454545454,0.6,11,9,0,-0.16541353383458646,0.03809523809523796,20
machine-1-5,7,1.0,7,0.7368421052631579,0.5833333333333334,1.0,12,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,5,0,-0.1428571428571429,0.12030075187969924,12
