case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,delta_midcls,delta_attn
NA0_LAG10_010,NA0_LAG10,0,10,5,2,unrelated,,,0.0005649328231811523,0.0004672408103942871
NA0_LAG10_010,NA0_LAG10,0,10,5,3,unrelated,,,0.0015525221824645996,0.004490017890930176
NA0_LAG10_010,NA0_LAG10,0,10,5,4,unrelated,,,0.00038868188858032227,-0.0007613301277160645
NA0_LAG10_010,NA0_LAG10,0,10,5,6,unrelated,,,0.0009663701057434082,0.005764901638031006
NA0_LAG10_011,NA0_LAG10,0,10,2,1,unrelated,,,0.04743218421936035,0.152701735496521
NA0_LAG10_011,NA0_LAG10,0,10,2,3,unrelated,,,0.04905802011489868,0.1512068510055542
NA0_LAG10_011,NA0_LAG10,0,10,2,4,unrelated,,,0.049962639808654785,0.14130717515945435
NA0_LAG10_011,NA0_LAG10,0,10,2,5,unrelated,,,0.051739394664764404,0.1675429344177246
NA0_LAG10_011,NA0_LAG10,0,10,2,6,unrelated,,,0.051262617111206055,0.16164183616638184
NA0_LAG10_012,NA0_LAG10,0,10,5,1,unrelated,,,0.05129331350326538,0.21723991632461548
NA0_LAG10_012,NA0_LAG10,0,10,5,2,unrelated,,,0.05491524934768677,0.19891232252120972
NA0_LAG10_012,NA0_LAG10,0,10,5,3,unrelated,,,0.05548501014709473,0.20354115962982178
NA0_LAG10_012,NA0_LAG10,0,10,5,4,unrelated,,,0.05039256811141968,0.19497579336166382
NA0_LAG10_012,NA0_LAG10,0,10,5,6,unrelated,,,0.05399125814437866,0.21651238203048706
NA0_LAG10_013,NA0_LAG10,0,10,1,2,unrelated,,,-0.0006194114685058594,0.02958470582962036
NA0_LAG10_013,NA0_LAG10,0,10,1,3,unrelated,,,-0.0007985830307006836,0.04314684867858887
NA0_LAG10_013,NA0_LAG10,0,10,1,4,unrelated,,,-0.0007024407386779785,0.03810751438140869
NA0_LAG10_013,NA0_LAG10,0,10,1,5,unrelated,,,-0.0017769932746887207,0.04174095392227173
NA0_LAG10_013,NA0_LAG10,0,10,1,6,unrelated,,,-0.0011761784553527832,0.022170603275299072
NA0_LAG10_014,NA0_LAG10,0,10,4,1,unrelated,,,-0.0006263852119445801,0.20628118515014648
NA0_LAG10_014,NA0_LAG10,0,10,4,2,unrelated,,,-0.00041979551315307617,0.19158023595809937
NA0_LAG10_014,NA0_LAG10,0,10,4,3,unrelated,,,0.000448763370513916,0.197970449924469
NA0_LAG10_014,NA0_LAG10,0,10,4,5,unrelated,,,-0.0005787014961242676,0.19743293523788452
NA0_LAG10_014,NA0_LAG10,0,10,4,6,unrelated,,,1.6391277313232422e-05,0.21617597341537476
NA0_LAG10_015,NA0_LAG10,0,10,4,1,unrelated,,,0.04522442817687988,0.2447047233581543
NA0_LAG10_015,NA0_LAG10,0,10,4,2,unrelated,,,0.04273414611816406,0.21504491567611694
NA0_LAG10_015,NA0_LAG10,0,10,4,3,unrelated,,,0.04526078701019287,0.22053474187850952
NA0_LAG10_015,NA0_LAG10,0,10,4,5,unrelated,,,0.04620039463043213,0.2141854166984558
NA0_LAG10_015,NA0_LAG10,0,10,4,6,unrelated,,,0.042347729206085205,0.22433823347091675
NA0_LAG10_016,NA0_LAG10,0,10,4,1,unrelated,,,0.04836869239807129,0.193068265914917
NA0_LAG10_016,NA0_LAG10,0,10,4,2,unrelated,,,0.04733598232269287,0.17972999811172485
NA0_LAG10_016,NA0_LAG10,0,10,4,3,unrelated,,,0.04405587911605835,0.1700405478477478
NA0_LAG10_016,NA0_LAG10,0,10,4,5,unrelated,,,0.04807019233703613,0.18449503183364868
NA0_LAG10_016,NA0_LAG10,0,10,4,6,unrelated,,,0.04578065872192383,0.16276222467422485
NA0_LAG10_017,NA0_LAG10,0,10,6,1,unrelated,,,0.0001429915428161621,0.006357431411743164
NA0_LAG10_017,NA0_LAG10,0,10,6,2,unrelated,,,0.0003972053527832031,0.0030167102813720703
NA0_LAG10_017,NA0_LAG10,0,10,6,3,unrelated,,,0.00023859739303588867,0.008278429508209229
NA0_LAG10_017,NA0_LAG10,0,10,6,4,unrelated,,,0.0006995797157287598,0.005453050136566162
NA0_LAG10_017,NA0_LAG10,0,10,6,5,unrelated,,,9.626150131225586e-05,-0.00192338228225708
NA0_LAG10_018,NA0_LAG10,0,10,6,1,unrelated,,,-0.0006836652755737305,0.19444870948791504
NA0_LAG10_018,NA0_LAG10,0,10,6,2,unrelated,,,0.0002582073211669922,0.20264863967895508
NA0_LAG10_018,NA0_LAG10,0,10,6,3,unrelated,,,-0.0007657408714294434,0.22259032726287842
NA0_LAG10_018,NA0_LAG10,0,10,6,4,unrelated,,,-0.0004146695137023926,0.19630730152130127
NA0_LAG10_018,NA0_LAG10,0,10,6,5,unrelated,,,-2.110004425048828e-05,0.20586150884628296
NA0_LAG10_019,NA0_LAG10,0,10,3,1,unrelated,,,0.04769253730773926,0.1426519751548767
NA0_LAG10_019,NA0_LAG10,0,10,3,2,unrelated,,,0.04494214057922363,0.11927151679992676
NA0_LAG10_019,NA0_LAG10,0,10,3,4,unrelated,,,0.05207306146621704,0.12692850828170776
NA0_LAG10_019,NA0_LAG10,0,10,3,5,unrelated,,,0.05151015520095825,0.11631190776824951
NA0_LAG10_019,NA0_LAG10,0,10,3,6,unrelated,,,0.04990804195404053,0.19511198997497559
NA0_LAG10_020,NA0_LAG10,0,10,6,1,unrelated,,,-0.0001634359359741211,0.21747064590454102
NA0_LAG10_020,NA0_LAG10,0,10,6,2,unrelated,,,-0.0004999041557312012,0.21905159950256348
NA0_LAG10_020,NA0_LAG10,0,10,6,3,unrelated,,,-0.001251816749572754,0.21243679523468018
NA0_LAG10_020,NA0_LAG10,0,10,6,4,unrelated,,,-0.0006195306777954102,0.21500074863433838
NA0_LAG10_020,NA0_LAG10,0,10,6,5,unrelated,,,0.00012600421905517578,0.20797055959701538
NA0_LAG10_021,NA0_LAG10,0,10,2,1,unrelated,,,0.0412326455116272,0.21754717826843262
NA0_LAG10_021,NA0_LAG10,0,10,2,3,unrelated,,,0.03971529006958008,0.20731425285339355
NA0_LAG10_021,NA0_LAG10,0,10,2,4,unrelated,,,0.04251277446746826,0.20995581150054932
NA0_LAG10_021,NA0_LAG10,0,10,2,5,unrelated,,,0.043040573596954346,0.20188921689987183
NA0_LAG10_021,NA0_LAG10,0,10,2,6,unrelated,,,0.03853815793991089,0.19859302043914795
