case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,dist_pre_cls,dist_post_cls,delta_cls,dist_pre_patch,dist_post_patch,delta_patch
NA0_LAG10_000,NA0_LAG10,0,10,2,1,unrelated,,,0.008152186870574951,0.00875180959701538,0.0005996227264404297,0.0066983699798583984,0.008099257946014404,0.0014008879661560059
NA0_LAG10_000,NA0_LAG10,0,10,2,3,unrelated,,,0.0202217698097229,0.008619904518127441,-0.011601865291595459,0.01019507646560669,0.007420837879180908,-0.0027742385864257812
NA0_LAG10_000,NA0_LAG10,0,10,2,4,unrelated,,,0.016399502754211426,0.010743200778961182,-0.005656301975250244,0.011059701442718506,0.009339988231658936,-0.0017197132110595703
NA0_LAG10_000,NA0_LAG10,0,10,2,5,unrelated,,,0.01752007007598877,0.015315830707550049,-0.0022042393684387207,0.010455667972564697,0.015361487865447998,0.004905819892883301
NA0_LAG10_000,NA0_LAG10,0,10,2,6,unrelated,,,0.0216638445854187,0.017121613025665283,-0.004542231559753418,0.011157095432281494,0.014750957489013672,0.0035938620567321777
NA0_LAG10_001,NA0_LAG10,0,10,6,1,unrelated,,,0.022897839546203613,0.010024785995483398,-0.012873053550720215,0.014316320419311523,0.009629666805267334,-0.0046866536140441895
NA0_LAG10_001,NA0_LAG10,0,10,6,2,unrelated,,,0.028786897659301758,0.017739593982696533,-0.011047303676605225,0.01770836114883423,0.016550183296203613,-0.0011581778526306152
NA0_LAG10_001,NA0_LAG10,0,10,6,3,unrelated,,,0.05874788761138916,0.019612550735473633,-0.03913533687591553,0.03708243370056152,0.017809629440307617,-0.019272804260253906
NA0_LAG10_001,NA0_LAG10,0,10,6,4,unrelated,,,0.015557706356048584,0.014405012130737305,-0.0011526942253112793,0.01160508394241333,0.014640569686889648,0.0030354857444763184
NA0_LAG10_001,NA0_LAG10,0,10,6,5,unrelated,,,0.05049997568130493,0.013633191585540771,-0.03686678409576416,0.030079782009124756,0.017203152179718018,-0.012876629829406738
NA0_LAG10_002,NA0_LAG10,0,10,4,1,unrelated,,,0.021115481853485107,0.21304649114608765,0.19193100929260254,0.013218045234680176,0.17779898643493652,0.16458094120025635
NA0_LAG10_002,NA0_LAG10,0,10,4,2,unrelated,,,0.028780996799468994,0.22673481702804565,0.19795382022857666,0.023398995399475098,0.17612677812576294,0.15272778272628784
NA0_LAG10_002,NA0_LAG10,0,10,4,3,unrelated,,,0.019853055477142334,0.21810322999954224,0.1982501745223999,0.014087677001953125,0.17531394958496094,0.1612262725830078
NA0_LAG10_002,NA0_LAG10,0,10,4,5,unrelated,,,0.01607447862625122,0.224651038646698,0.20857656002044678,0.011548757553100586,0.17472738027572632,0.16317862272262573
NA0_LAG10_002,NA0_LAG10,0,10,4,6,unrelated,,,0.014087200164794922,0.21724504232406616,0.20315784215927124,0.008765757083892822,0.17182785272598267,0.16306209564208984
NA0_LAG10_003,NA0_LAG10,0,10,2,1,unrelated,,,0.07179129123687744,0.03203064203262329,-0.03976064920425415,0.03684258460998535,0.02983534336090088,-0.007007241249084473
NA0_LAG10_003,NA0_LAG10,0,10,2,3,unrelated,,,0.01304018497467041,0.022170186042785645,0.009130001068115234,0.01064455509185791,0.022122979164123535,0.011478424072265625
NA0_LAG10_003,NA0_LAG10,0,10,2,4,unrelated,,,0.0425715446472168,0.031283795833587646,-0.01128774881362915,0.028523623943328857,0.023897230625152588,-0.0046263933181762695
NA0_LAG10_003,NA0_LAG10,0,10,2,5,unrelated,,,0.024354636669158936,0.037064552307128906,0.01270991563796997,0.014151811599731445,0.03504633903503418,0.020894527435302734
NA0_LAG10_003,NA0_LAG10,0,10,2,6,unrelated,,,0.023565828800201416,0.02932518720626831,0.0057593584060668945,0.013701677322387695,0.02383357286453247,0.010131895542144775
NA0_LAG10_004,NA0_LAG10,0,10,5,1,unrelated,,,0.0173988938331604,0.029300212860107422,0.011901319026947021,0.014433562755584717,0.028688490390777588,0.014254927635192871
NA0_LAG10_004,NA0_LAG10,0,10,5,2,unrelated,,,0.030990421772003174,0.018887996673583984,-0.01210242509841919,0.022002041339874268,0.013910293579101562,-0.008091747760772705
NA0_LAG10_004,NA0_LAG10,0,10,5,3,unrelated,,,0.015151441097259521,0.018926143646240234,0.003774702548980713,0.012438595294952393,0.016025960445404053,0.00358736515045166
NA0_LAG10_004,NA0_LAG10,0,10,5,4,unrelated,,,0.01706451177597046,0.02125835418701172,0.00419384241104126,0.011613547801971436,0.017889976501464844,0.006276428699493408
NA0_LAG10_004,NA0_LAG10,0,10,5,6,unrelated,,,0.02457636594772339,0.016365110874176025,-0.008211255073547363,0.018544137477874756,0.0131911039352417,-0.005353033542633057
NA0_LAG10_005,NA0_LAG10,0,10,3,1,unrelated,,,0.011103689670562744,0.019784986972808838,0.008681297302246094,0.0077689290046691895,0.020939409732818604,0.013170480728149414
NA0_LAG10_005,NA0_LAG10,0,10,3,2,unrelated,,,0.031407952308654785,0.014688551425933838,-0.016719400882720947,0.018489420413970947,0.011435925960540771,-0.007053494453430176
NA0_LAG10_005,NA0_LAG10,0,10,3,4,unrelated,,,0.025095880031585693,0.015253245830535889,-0.009842634201049805,0.017725050449371338,0.011508166790008545,-0.006216883659362793
NA0_LAG10_005,NA0_LAG10,0,10,3,5,unrelated,,,0.023253798484802246,0.016627967357635498,-0.006625831127166748,0.015422165393829346,0.012852013111114502,-0.0025701522827148438
NA0_LAG10_005,NA0_LAG10,0,10,3,6,unrelated,,,0.038167357444763184,0.013179242610931396,-0.024988114833831787,0.025078177452087402,0.011195659637451172,-0.01388251781463623
NA0_LAG10_006,NA0_LAG10,0,10,4,1,unrelated,,,0.04969710111618042,0.20416569709777832,0.1544685959815979,0.026974141597747803,0.19801098108291626,0.17103683948516846
NA0_LAG10_006,NA0_LAG10,0,10,4,2,unrelated,,,0.01158595085144043,0.20084655284881592,0.1892606019973755,0.008437514305114746,0.19648462533950806,0.1880471110343933
NA0_LAG10_006,NA0_LAG10,0,10,4,3,unrelated,,,0.012420415878295898,0.21951282024383545,0.20709240436553955,0.006303548812866211,0.2033597230911255,0.19705617427825928
