dataset,signal_id,model,f1_max,f1_alpha,f1_01,f1_001,f1_0001,precision,recall,affi_f1,affi_precision,affi_recall,status,timestamp
SMAP,B-1,LLM-TSAD,0.1935,fixed,0.1935,0.1935,0.1935,0.1109,0.7606,0.978,0.9572,0.9996,ok,2026-04-06T18:28:14.489327
SMAP,D-1,ViT4TS,0.1926,0.1,0.1926,0.0756,0.0374,0.3612,0.1313,0.6805,0.538,0.9254,ok,2026-04-06T18:29:53.333886
SMAP,D-1,VLM4TS,0.0796,0.01,0.0367,0.0796,0.0379,1.0,0.0414,0.9242,1.0,0.8592,ok,2026-04-06T18:36:15.696408
SMAP,D-1,LLM-TSAD,0.0271,fixed,0.0271,0.0271,0.0271,0.0511,0.0184,0.7256,0.5745,0.9845,ok,2026-04-06T18:39:22.204582
SMAP,D-11,ViT4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1675,0.1225,0.2648,ok,2026-04-06T18:40:53.403609
SMAP,D-11,VLM4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7181,0.5658,0.9824,ok,2026-04-06T18:42:38.811249
SMAP,D-11,LLM-TSAD,0.2553,fixed,0.2553,0.2553,0.2553,0.189,0.3934,0.5556,0.3849,0.9983,ok,2026-04-06T18:45:04.993702
SMAP,D-12,ViT4TS,0.4284,0.1,0.4284,0.2357,0.138,0.9534,0.2763,0.9815,0.9785,0.9845,ok,2026-04-06T18:46:08.913567
SMAP,D-12,VLM4TS,0.4253,0.1,0.4253,0.2357,0.0,0.953,0.2737,0.9814,0.9783,0.9845,ok,2026-04-06T18:47:33.395485
SMAP,D-12,LLM-TSAD,0.2003,fixed,0.2003,0.2003,0.2003,1.0,0.1113,0.9087,1.0,0.8326,ok,2026-04-06T18:49:54.785212
SMAP,D-13,ViT4TS,0.9375,0.001,0.4293,0.8698,0.9375,0.9434,0.9317,0.9994,0.9989,0.9999,ok,2026-04-06T18:51:07.496340
SMAP,D-13,VLM4TS,0.9375,0.001,0.8451,0.9235,0.9375,0.9434,0.9317,0.9994,0.9989,0.9999,ok,2026-04-06T18:52:37.183248
SMAP,D-13,LLM-TSAD,0.8599,fixed,0.8599,0.8599,0.8599,0.8824,0.8385,0.9987,0.9977,0.9997,ok,2026-04-06T18:54:27.477845
SMAP,D-2,ViT4TS,0.0942,0.1,0.0942,0.0669,0.0516,0.2528,0.0578,0.7249,0.6268,0.8595,ok,2026-04-06T18:56:07.938595
SMAP,D-2,VLM4TS,0.9252,0.1,0.9252,0.2579,0.0516,0.9503,0.9014,0.989,0.9811,0.9971,ok,2026-04-06T18:58:06.007416
SMAP,D-2,LLM-TSAD,0.1985,fixed,0.1985,0.1985,0.1985,0.892,0.1117,0.9178,0.9598,0.8794,ok,2026-04-06T19:00:12.456817
SMAP,D-3,ViT4TS,0.6862,0.1,0.6862,0.1518,0.0,0.9513,0.5366,0.9796,0.9637,0.996,ok,2026-04-06T19:01:53.084146
SMAP,D-3,VLM4TS,0.263,0.1,0.263,0.1064,0.0,1.0,0.1514,0.9213,1.0,0.8541,ok,2026-04-06T19:03:48.278312
SMAP,D-3,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.2531,0.252,0.2541,ok,2026-04-06T19:06:32.557298
SMAP,D-4,ViT4TS,0.6886,0.1,0.6886,0.1149,0.0,0.9492,0.5403,0.9782,0.9621,0.9949,ok,2026-04-06T19:08:10.940116
SMAP,D-4,VLM4TS,0.3817,0.1,0.3817,0.0829,0.0,1.0,0.2358,0.9464,1.0,0.8982,ok,2026-04-06T19:10:05.112397
SMAP,D-4,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,2026-04-06T19:12:15.518199
SMAP,D-5,ViT4TS,0.3357,0.001,0.1111,0.2576,0.3357,0.2052,0.9216,0.7126,0.5536,1.0,ok,2026-04-06T19:13:41.963223
SMAP,D-5,VLM4TS,0.5465,0.001,0.2556,0.0287,0.5465,0.3884,0.9216,0.7855,0.6468,1.0,ok,2026-04-06T19:15:27.404956
SMAP,D-5,LLM-TSAD,0.0164,fixed,0.0164,0.0164,0.0164,0.0095,0.0588,0.7219,0.5657,0.9974,ok,2026-04-06T19:17:52.839377
SMAP,D-6,ViT4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1677,0.1257,0.2515,ok,2026-04-06T19:19:21.971779
SMAP,D-6,VLM4TS,0.3475,0.01,0.0319,0.3475,0.0,0.2528,0.5556,0.7216,0.5649,0.9985,ok,2026-04-06T19:21:06.653294
SMAP,D-6,LLM-TSAD,0.0101,fixed,0.0101,0.0101,0.0101,0.0063,0.0247,0.6284,0.459,0.9962,ok,2026-04-06T19:24:05.156990
SMAP,D-7,ViT4TS,0.5912,0.1,0.5912,0.3113,0.134,1.0,0.4197,0.9968,1.0,0.9937,ok,2026-04-06T19:25:32.173014
SMAP,D-7,VLM4TS,0.3113,0.01,0.0,0.3113,0.0,1.0,0.1843,0.9943,1.0,0.9887,ok,2026-04-06T19:28:13.818284
SMAP,D-7,LLM-TSAD,0.2455,fixed,0.2455,0.2455,0.2455,1.0,0.1399,0.9277,1.0,0.8651,ok,2026-04-06T19:30:23.213138
SMAP,D-8,ViT4TS,0.3656,0.001,0.2417,0.3178,0.3656,0.2237,1.0,0.9941,0.9883,1.0,ok,2026-04-06T19:32:12.559064
SMAP,D-8,VLM4TS,0.3656,0.001,0.2417,0.3178,0.3656,0.2237,1.0,0.9941,0.9883,1.0,ok,2026-04-06T19:34:19.043424
SMAP,D-8,LLM-TSAD,0.0385,fixed,0.0385,0.0385,0.0385,1.0,0.0196,0.9987,1.0,0.9974,ok,2026-04-06T19:36:28.335313
SMAP,D-9,ViT4TS,0.1215,0.01,0.1121,0.1215,0.1018,0.3952,0.0718,0.6021,0.4413,0.9471,ok,2026-04-06T19:37:53.600661
SMAP,D-9,VLM4TS,0.205,0.1,0.205,0.134,0.1018,1.0,0.1142,0.9752,1.0,0.9516,ok,2026-04-06T19:39:36.298412
SMAP,D-9,LLM-TSAD,0.8831,fixed,0.8831,0.8831,0.8831,1.0,0.7907,0.9978,1.0,0.9957,ok,2026-04-06T19:41:25.478185
SMAP,E-1,ViT4TS,0.7345,0.01,0.4476,0.7345,0.6974,0.9558,0.5965,0.4957,0.5004,0.491,ok,2026-04-06T19:43:03.767187
SMAP,E-1,VLM4TS,0.7472,0.01,0.7466,0.7472,0.6974,1.0,0.5965,0.6579,1.0,0.4902,ok,2026-04-06T19:44:59.579493
SMAP,E-1,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.626,0.5111,0.8076,ok,2026-04-06T19:47:59.195280
SMAP,E-10,ViT4TS,0.7759,0.01,0.358,0.7759,0.7477,0.7723,0.7795,0.5758,0.5726,0.579,ok,2026-04-06T19:49:37.473565
SMAP,E-10,VLM4TS,0.8298,0.01,0.8102,0.8298,0.6535,0.8869,0.7795,0.664,0.9892,0.4998,ok,2026-04-06T19:51:32.619508
SMAP,E-10,LLM-TSAD,0.1702,fixed,0.1702,0.1702,0.1702,0.113,0.3447,0.7383,0.5932,0.9772,ok,2026-04-06T19:54:02.938139
SMAP,E-11,ViT4TS,0.7764,0.01,0.3987,0.7764,0.6242,0.7943,0.7593,0.662,0.9805,0.4997,ok,2026-04-06T19:55:41.618599
SMAP,E-11,VLM4TS,0.7589,0.1,0.7589,0.598,0.4282,0.7011,0.8271,0.6599,0.9703,0.5,ok,2026-04-06T19:57:38.733866
SMAP,E-11,LLM-TSAD,0.3384,fixed,0.3384,0.3384,0.3384,0.2407,0.5695,0.8545,0.7476,0.9972,ok,2026-04-06T20:00:07.323403
SMAP,E-12,ViT4TS,0.6686,0.1,0.6686,0.641,0.3624,0.5711,0.8062,0.7564,0.686,0.843,ok,2026-04-06T20:01:45.592661
SMAP,E-12,VLM4TS,0.8141,0.1,0.8141,0.641,0.627,0.9476,0.7136,0.6611,0.9909,0.496,ok,2026-04-06T20:03:42.916583
SMAP,E-12,LLM-TSAD,0.0986,fixed,0.0986,0.0986,0.0986,0.0836,0.1201,0.6964,0.5429,0.9707,ok,2026-04-06T20:05:49.451866
SMAP,E-13,ViT4TS,0.0504,0.1,0.0504,0.0,0.0,0.0309,0.1364,0.697,0.5584,0.9273,ok,2026-04-06T20:07:30.022687
SMAP,E-13,VLM4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4014,0.428,0.3779,ok,2026-04-06T20:09:34.510999
SMAP,E-13,LLM-TSAD,0.0924,fixed,0.0924,0.0924,0.0924,0.0607,0.1932,0.7501,0.6053,0.9861,ok,2026-04-06T20:12:14.231312
SMAP,E-2,ViT4TS,0.4426,0.1,0.4426,0.3763,0.3456,0.8291,0.3019,0.9003,0.8628,0.9413,ok,2026-04-06T20:13:53.582632
SMAP,E-2,VLM4TS,0.4637,0.1,0.4637,0.3763,0.3456,1.0,0.3019,0.9697,1.0,0.9413,ok,2026-04-06T20:15:49.771430
SMAP,E-2,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,2026-04-06T20:18:00.352015
SMAP,E-3,ViT4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1758,0.1328,0.2597,ok,2026-04-06T20:19:37.756869
SMAP,E-3,VLM4TS,0.3866,0.1,0.3866,0.0,0.0,0.5094,0.3115,0.7313,0.6157,0.9003,ok,2026-04-06T20:21:28.408947
SMAP,E-3,LLM-TSAD,0.009,fixed,0.009,0.009,0.009,0.1119,0.0047,0.4898,0.3453,0.8426,ok,2026-04-06T20:23:55.441528
SMAP,E-4,ViT4TS,0.2764,0.1,0.2764,0.1205,0.068,0.4861,0.1931,0.7703,0.6599,0.9251,ok,2026-04-06T20:25:33.156519
SMAP,E-4,VLM4TS,0.2549,0.1,0.2549,0.0936,0.068,0.7839,0.1522,0.8822,0.9007,0.8644,ok,2026-04-06T20:27:28.568653
SMAP,E-4,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.3067,0.271,0.3533,ok,2026-04-06T20:29:42.041561
SMAP,E-5,ViT4TS,0.0848,0.1,0.0848,0.0351,0.0,0.0518,0.2336,0.2854,0.1669,0.9837,ok,2026-04-06T20:31:18.865945
SMAP,E-5,VLM4TS,0.3171,0.1,0.3171,0.0655,0.0,0.4934,0.2336,0.6697,0.5076,0.9837,ok,2026-04-06T20:33:15.078647
SMAP,E-5,LLM-TSAD,0.0016,fixed,0.0016,0.0016,0.0016,0.0011,0.0031,0.6516,0.4895,0.974,ok,2026-04-06T20:35:41.004351
SMAP,E-6,ViT4TS,0.4835,0.001,0.3275,0.4164,0.4835,0.3188,1.0,0.9956,0.9913,1.0,ok,2026-04-06T20:37:21.583808
SMAP,E-6,VLM4TS,0.4835,0.001,0.3275,0.4164,0.4835,0.3188,1.0,0.9956,0.9913,1.0,ok,2026-04-06T20:39:18.763489
SMAP,E-6,LLM-TSAD,0.0399,fixed,0.0399,0.0399,0.0399,0.0227,0.1667,0.6827,0.5192,0.9966,ok,2026-04-06T20:41:50.787020
SMAP,E-7,ViT4TS,0.8503,0.001,0.7972,0.8323,0.8503,0.8233,0.879,0.9971,0.9947,0.9996,ok,2026-04-06T20:43:28.459169
SMAP,E-7,VLM4TS,0.8503,0.001,0.7972,0.8323,0.8503,0.8233,0.879,0.9971,0.9947,0.9996,ok,2026-04-06T20:45:23.543478
SMAP,E-7,LLM-TSAD,0.212,fixed,0.212,0.212,0.212,0.4483,0.1388,0.7076,0.5484,0.997,ok,2026-04-06T20:47:37.477480
SMAP,E-8,ViT4TS,0.5984,0.01,0.509,0.5984,0.576,0.7989,0.4783,0.9074,0.8374,0.9903,ok,2026-04-06T20:49:17.197004
SMAP,E-8,VLM4TS,0.7861,0.1,0.7861,0.6471,0.576,0.9831,0.6549,0.9963,0.9991,0.9935,ok,2026-04-06T20:51:13.203487
SMAP,E-8,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,2026-04-06T20:54:10.219861
SMAP,E-9,ViT4TS,0.0591,0.1,0.0591,0.0,0.0,0.0339,0.2279,0.2906,0.1704,0.9885,ok,2026-04-06T20:55:47.470979
SMAP,E-9,VLM4TS,0.1876,0.01,0.1697,0.1876,0.0,0.1749,0.2023,0.8577,0.7625,0.98,ok,2026-04-06T20:57:40.078278
SMAP,E-9,LLM-TSAD,0.0281,fixed,0.0281,0.0281,0.0281,1.0,0.0142,0.9891,1.0,0.9784,ok,2026-04-06T21:00:09.858697
SMAP,F-1,ViT4TS,0.3069,0.001,0.1229,0.2952,0.3069,0.3069,0.3069,0.6358,0.4665,0.9979,ok,2026-04-06T21:01:51.074720
SMAP,F-1,VLM4TS,0.4696,0.01,0.1635,0.4696,0.3523,0.3973,0.5743,0.7629,0.617,0.9992,ok,2026-04-06T21:03:52.491840
SMAP,F-1,LLM-TSAD,0.0024,fixed,0.0024,0.0024,0.0024,0.0014,0.0099,0.6593,0.493,0.995,ok,2026-04-06T21:06:27.737804
SMAP,F-2,ViT4TS,0.5466,0.1,0.5466,0.3982,0.3499,1.0,0.3761,0.9762,1.0,0.9535,ok,2026-04-06T21:08:08.467487
SMAP,F-2,VLM4TS,0.5551,0.01,0.5466,0.5551,0.5523,1.0,0.3842,0.9881,1.0,0.9764,ok,2026-04-06T21:10:07.201046
SMAP,F-2,LLM-TSAD,0.0056,fixed,0.0056,0.0056,0.0056,0.0164,0.0034,0.5213,0.3648,0.9125,ok,2026-04-06T21:15:27.002586
SMAP,F-3,ViT4TS,0.5103,0.001,0.0618,0.4227,0.5103,0.3558,0.9024,0.9969,0.9938,1.0,ok,2026-04-06T21:17:05.199488
SMAP,F-3,VLM4TS,0.4227,0.01,0.1224,0.4227,0.0,0.268,1.0,0.9784,0.9578,1.0,ok,2026-04-06T21:19:00.241456
SMAP,F-3,LLM-TSAD,0.1075,fixed,0.1075,0.1075,0.1075,0.0962,0.122,0.4953,0.3293,0.9984,ok,2026-04-06T21:21:29.545879
SMAP,G-1,ViT4TS,0.0685,0.1,0.0685,0.0,0.0,0.0379,0.3554,0.3832,0.2371,0.9981,ok,2026-04-06T21:23:08.029930
SMAP,G-1,VLM4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2433,0.2299,0.2583,ok,2026-04-06T21:25:04.199410
SMAP,G-1,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.095,0.0943,0.0957,ok,2026-04-06T21:27:31.168246
SMAP,G-2,ViT4TS,0.306,0.001,0.201,0.2628,0.306,0.1806,1.0,0.9939,0.9879,1.0,ok,2026-04-06T21:29:06.018505
