case_id,scenario,n_affected,lag,ch_i,ch_j,role_i,role_j,gt_edge,corr_full,corr_post,attn_sim,pair_type_match
NA0_LAG10_002,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9945751425708491,0.9948349731878968,0.9828025698661804,
NA0_LAG10_002,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9949574193570888,0.9950410261557335,0.9964337944984436,
NA0_LAG10_002,NA0_LAG10,0,10,4,5,root,unrelated,0,0.5655257152131058,0.07629672863260566,0.8113967180252075,
NA0_LAG10_002,NA0_LAG10,0,10,4,6,root,unrelated,0,0.5695169771510467,0.06590922223092097,0.8644320368766785,
NA0_LAG10_002,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.994509320260083,0.9942191180027845,0.9845041632652283,
NA0_LAG10_003,NA0_LAG10,0,10,1,2,unrelated,root,0,0.9605028531978697,0.9969957437127673,0.9890743494033813,
NA0_LAG10_003,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9951539938597473,0.995096264637552,0.9919731616973877,
NA0_LAG10_003,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9954394372703275,0.9959146679906868,0.9972788095474243,
NA0_LAG10_003,NA0_LAG10,0,10,1,5,unrelated,unrelated,0,0.995376490511693,0.9953983966510837,0.9947535991668701,
NA0_LAG10_003,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9953346741709582,0.9954112484361406,0.9881493449211121,
NA0_LAG10_003,NA0_LAG10,0,10,2,3,root,unrelated,0,0.9604865945414899,0.9969639395600227,0.995233416557312,
NA0_LAG10_003,NA0_LAG10,0,10,2,4,root,unrelated,0,0.9591059401407459,0.9975103823393154,0.9852393865585327,
NA0_LAG10_003,NA0_LAG10,0,10,2,5,root,unrelated,0,0.9611102053223705,0.9975413299581819,0.9881799817085266,
NA0_LAG10_003,NA0_LAG10,0,10,2,6,root,unrelated,0,0.9597471024787946,0.9973885803179616,0.994853675365448,
NA0_LAG10_003,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9952050466589,0.99561990619932,0.9855286478996277,
NA0_LAG10_003,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9954161511934314,0.9954527883404432,0.986365556716919,
NA0_LAG10_003,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9952757644568765,0.9956111593809289,0.9885922074317932,
NA0_LAG10_003,NA0_LAG10,0,10,4,5,unrelated,unrelated,0,0.9952297084051281,0.9955449620496363,0.9972182512283325,
NA0_LAG10_003,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9950704315726459,0.9954935869268491,0.9888128042221069,
NA0_LAG10_003,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9957848632342305,0.9964621640321044,0.9926187992095947,
NA0_LAG10_004,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.9948553214189021,0.9944484469817149,0.9831055402755737,
NA0_LAG10_004,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9949775851863166,0.9947710739874069,0.9883108139038086,
NA0_LAG10_004,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9955344777137627,0.9951918599825749,0.990199625492096,
NA0_LAG10_004,NA0_LAG10,0,10,1,5,unrelated,root,0,0.9567183240126808,0.9965196172665741,0.9861190319061279,
NA0_LAG10_004,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.99532658277729,0.9950588978598955,0.995452880859375,
NA0_LAG10_004,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9950191664251559,0.9946790700622464,0.9939727783203125,
NA0_LAG10_004,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.994754185711054,0.9948582422510746,0.9968340396881104,
NA0_LAG10_004,NA0_LAG10,0,10,2,5,unrelated,root,0,0.958630488328744,0.9972070674956423,0.9927206039428711,
NA0_LAG10_004,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9955035896331217,0.9959822178119143,0.987432062625885,
NA0_LAG10_004,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9949464283393453,0.9947916585338754,0.997519314289093,
NA0_LAG10_004,NA0_LAG10,0,10,3,5,unrelated,root,0,0.9590603813768501,0.9969761372166337,0.9899176359176636,
NA0_LAG10_004,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9954356381948276,0.995465344008813,0.9878057837486267,
NA0_LAG10_004,NA0_LAG10,0,10,4,5,unrelated,root,0,0.9600691583856537,0.9965153837713487,0.994796872138977,
NA0_LAG10_004,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9949936569677972,0.9951636680305264,0.9926013350486755,
NA0_LAG10_004,NA0_LAG10,0,10,5,6,root,unrelated,0,0.9580876268725299,0.9972090832339197,0.992646336555481,
NA0_LAG10_005,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.9950610750370957,0.9945044639327522,0.9868740439414978,
NA0_LAG10_005,NA0_LAG10,0,10,1,3,unrelated,root,0,0.9586652358889741,0.996789729764658,0.9878522157669067,
NA0_LAG10_005,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.995521428385661,0.9952603447218527,0.9970758557319641,
NA0_LAG10_005,NA0_LAG10,0,10,1,5,unrelated,unrelated,0,0.9951457849364322,0.9946134869605225,0.9973370432853699,
NA0_LAG10_005,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9953564572113834,0.9951620488226864,0.9947798848152161,
NA0_LAG10_005,NA0_LAG10,0,10,2,3,unrelated,root,0,0.9596014315692145,0.9971976829099051,0.9917300343513489,
NA0_LAG10_005,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9956939826243979,0.9957465323995335,0.9874406456947327,
NA0_LAG10_005,NA0_LAG10,0,10,2,5,unrelated,unrelated,0,0.9950839058906382,0.9949154878843015,0.9801519513130188,
NA0_LAG10_005,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9947671707943726,0.9949069769987146,0.996330201625824,
NA0_LAG10_005,NA0_LAG10,0,10,3,4,root,unrelated,0,0.9585078246188155,0.9971791181843164,0.9852527976036072,
NA0_LAG10_005,NA0_LAG10,0,10,3,5,root,unrelated,0,0.9593792777246557,0.9969196735762292,0.9838509559631348,
NA0_LAG10_005,NA0_LAG10,0,10,3,6,root,unrelated,0,0.9581139586601146,0.9971402604077408,0.9924818873405457,
NA0_LAG10_005,NA0_LAG10,0,10,4,5,unrelated,unrelated,0,0.9954228352109645,0.9952137383785803,0.9963916540145874,
