entity,n_gt,oracle_f1,oracle_n,loose_f1,loose_p,loose_r,loose_n,stage2_f1,stage2_p,stage2_r,stage2_n,n_removed,n_added,d_oracle,d_loose,api_calls
machine-1-1,8,0.6153846153846154,5,0.5185185185185185,0.4117647058823529,0.7,17,0.5454545454545455,0.46153846153846156,0.6666666666666666,13,4,0,-0.0699300699300699,0.026936026936027035,21
machine-1-2,10,0.7368421052631577,9,0.5333333333333333,0.4,0.8,20,0.5833333333333334,0.5,0.7,14,6,0,-0.15350877192982437,0.050000000000000044,24
machine-1-5,7,1.0,7,0.7368421052631579,0.5833333333333334,1.0,12,0.7777777777777778,0.6363636363636364,1.0,11,1,0,-0.2222222222222222,0.040935672514619936,17
