entity,C,n_gt,T_test,anom_ratio,intra_final_sum_mean_f1,intra_final_sum_max_f1,intra_final_sum_varw_f1,intra_final_sum_top3_f1,intra_final_sum_vote_f1,intra_final_topk10_mean_f1,intra_final_topk10_max_f1,intra_final_topk10_varw_f1,intra_final_topk10_top3_f1,intra_final_topk10_vote_f1,intra_ml_sum_mean_f1,intra_ml_sum_max_f1,intra_ml_sum_varw_f1,intra_ml_sum_top3_f1,intra_ml_sum_vote_f1,intra_ml_topk10_mean_f1,intra_ml_topk10_max_f1,intra_ml_topk10_varw_f1,intra_ml_topk10_top3_f1,intra_ml_topk10_vote_f1,inter_overlay_final_sum_mean_f1,inter_overlay_final_sum_max_f1,inter_overlay_final_topk10_mean_f1,inter_overlay_final_topk10_max_f1,inter_overlay_ml_sum_mean_f1,inter_overlay_ml_sum_max_f1,inter_overlay_ml_topk10_mean_f1,inter_overlay_ml_topk10_max_f1,fusion_w0.5_f1,fusion_w0.7_f1,fusion_w0.9_f1,fusion_multiply_f1,fusion_add_f1
machine-1-1,38,8,28479,0.09459601811861372,0.4615384615384615,0.6666666666666667,0.5384615384615384,0.5333333333333333,0.4615384615384615,0.5,0.6428571428571428,0.6153846153846154,0.5714285714285715,0.5,0.5,0.8333333333333333,0.5,0.5,0.5555555555555556,0.5,0.7499999999999999,0.6666666666666666,0.4761904761904762,0.5263157894736842,0.6666666666666666,0.7586206896551725,0.5454545454545454,0.7878787878787878,0.6666666666666666,0.6451612903225806,0.6153846153846154,0.64,0.5714285714285715,0.5714285714285715,0.5,0.5714285714285715,0.5714285714285715
machine-1-2,38,10,23694,0.022874989448805606,0.5833333333333334,0.08695652173913043,0.2105263157894737,0.20000000000000004,0.0,0.5384615384615384,0.2857142857142857,0.4210526315789474,0.16666666666666669,0.14285714285714288,0.2105263157894737,0.0,0.11764705882352941,0.0,0.0,0.47619047619047616,0.3157894736842105,0.380952380952381,0.33333333333333337,0.30769230769230765,0.4210526315789474,0.24,0.5454545454545454,0.4347826086956522,0.4000000000000001,0.1904761904761905,0.7368421052631577,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.6363636363636365,0.6666666666666666,0.6666666666666666
machine-1-3,38,12,23703,0.034468210775007384,0.47058823529411764,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.4210526315789474,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35294117647058826,0.3333333333333333,0.375,0.3333333333333333,0.3157894736842105,0.3157894736842105,0.2857142857142857,0.26666666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.375,0.4210526315789474,0.5555555555555556,0.380952380952381,0.2222222222222222,0.3333333333333333,0.4,0.3333333333333333,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.4,0.5882352941176471
machine-1-4,38,12,23707,0.030370776563884084,0.5,0.43478260869565216,0.5,0.5,0.4210526315789474,0.5,0.45454545454545453,0.5,0.5,0.5,0.2962962962962963,0.43478260869565216,0.2962962962962963,0.5,0.4166666666666667,0.5555555555555556,0.4,0.5555555555555556,0.4444444444444444,0.5,0.375,0.5454545454545454,0.5555555555555556,0.45454545454545453,0.4761904761904762,0.5454545454545454,0.375,0.4444444444444444,0.5555555555555556,0.5882352941176471,0.5555555555555556,0.5263157894736842,0.5555555555555556
machine-1-5,38,7,23706,0.004218341348181895,0.39999999999999997,0.4210526315789474,0.4210526315789474,0.2222222222222222,0.22222222222222224,0.2857142857142857,0.47058823529411764,0.4444444444444444,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.15384615384615383,0.14285714285714285,0.0,0.2857142857142857,0.2,0.8750000000000001,0.4,0.9333333333333333,0.7272727272727273,0.7999999999999999,0.2,1.0,0.6250000000000001,0.7058823529411764,0.5263157894736842,0.47058823529411764,0.7777777777777778,0.7058823529411764
