entity,n_gt,oracle_f1,oracle_n,loose_f1,loose_p,loose_r,loose_n,stage2_f1,stage2_p,stage2_r,stage2_n,pt_f1_max,pt_f1_s2,pt_f1_pa,pa_f1_s2_masked,pa_f1_z_only,pa_f1_mah_only,pa_f1_mah_soft,n_removed,n_added,d_oracle,d_loose,api_calls
machine-1-1,8,0.6060606060606061,22,0.4,0.25,1.0,28,0.47058823529411764,0.4,0.5714285714285714,10,0.4216867469879518,0.41552590538901407,0.4542304116304623,0.9985135637309551,0.9985135637309551,1.0,1.0,18,0,-0.13547237076648844,0.07058823529411762,28
machine-1-2,10,0.7368421052631577,9,0.3870967741935483,0.25,0.8571428571428571,24,0.7272727272727273,1.0,0.5714285714285714,4,0.37480314960629924,0.1570003694126339,0.1570003694126339,0.7870680044593087,0.9108527131782945,0.8943862987630828,0.9209855564995753,20,0,-0.00956937799043045,0.34017595307917897,25
machine-1-5,7,1.0,7,0.4444444444444445,0.2857142857142857,1.0,21,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,0.2985074626865672,0.01913477537437604,0.01913477537437604,0.7499999999999999,0.7499999999999999,0.9359605911330049,0.8474576271186441,15,0,-0.16666666666666663,0.3888888888888889,21
